,,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
Key,Formulary,NDC11,Drug Name,Therapeutic Class,2027,2028,2029,2030,2031,660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,660.8806903,667.4888363,674.1630572,680.9040136,687.7123728
G5_GOV00002143380,G5_GOV,2143380,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5261314,508.5593786,513.6429382,518.777313,523.963011,254.2806964,256.8224862,259.3896838,261.982543,264.6013205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002143480,G5_GOV,2143480,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5261314,508.5593786,513.6429382,518.777313,523.963011,254.2806964,256.8224862,259.3896838,261.982543,264.6013205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002143611,G5_GOV,2143611,EMGALITY,MIGRAINE PRODUCTS,971.9563715,1014.588322,1059.090195,1105.544009,1154.03538,810.0701096,845.6014047,882.6911735,921.4077738,961.8225615,388.8336526,405.8886743,423.6917633,442.2757314,461.6748295,0,0,0,0,0,0,0,0,0,0,4.086266886,5.876532758,7.809764634,9.894810941,12.14101133
G5_GOV00002144509,G5_GOV,2144509,TALTZ,IMMUNOMODULATORS,9496.899048,9907.060621,10334.93666,10781.29224,11246.92547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002144511,G5_GOV,2144511,TALTZ,IMMUNOMODULATORS,9496.902677,9907.064407,10334.94061,10781.29636,11246.92977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002145780,G5_GOV,2145780,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002146080,G5_GOV,2146080,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002147180,G5_GOV,2147180,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002148401,G5_GOV,2148401,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7456249,556.2525304,561.8144994,567.4320826,573.105836,278.1265406,280.9075278,283.7163222,286.5532017,289.4184472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
