,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
Formulary,NDC11,DrugName,Therapeutic Class,Year 1,Year 2,Year 3,Year 4,Year 5,Year 1,Year 2,Year 3,Year 4,Year 5,Year 1,Year 2,Year 3,Year 4,Year 5,Year 1,Year 2,Year 3,Year 4,Year 5,Year 1,Year 2,Year 3,Year 4,Year 5,Year 1,Year 2,Year 3,Year 4,Year 5
IBCprem_BoG_GOV,2143380,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5024502,508.5354607,513.6187812,518.7529145,523.9383686,263.0800302,265.7097782,268.3658132,271.0483978,273.7577976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2143480,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5024502,508.5354607,513.6187812,518.7529145,523.9383686,263.0800302,265.7097782,268.3658132,271.0483978,273.7577976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2143611,EMGALITY,MIGRAINE PRODUCTS,971.9563715,1014.588322,1059.090195,1105.544009,1154.03538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2144509,TALTZ,IMMUNOMODULATORS,9496.899048,9907.060621,10334.93666,10781.29224,11246.92547,7915.107738,8256.953326,8613.562883,8985.57405,9373.652008,5037.966075,5255.550792,5482.532775,5719.317883,5966.329503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2144511,TALTZ,IMMUNOMODULATORS,9496.902677,9907.064407,10334.94061,10781.29636,11246.92977,7915.109962,8256.955646,8613.565303,8985.576575,9373.654642,5037.967491,5255.552269,5482.534316,5719.31949,5966.33118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2144527,TALTZ,IMMUNOMODULATORS,9496.897228,9907.058722,10334.93468,10781.29018,11246.92332,7915.106626,8256.952166,8613.561673,8985.572788,9373.650691,5037.965367,5255.550053,5482.532005,5719.317079,5966.328665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2145780,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2146080,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2147101,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7210918,556.227752,561.7894733,567.4068062,573.0803069,304.2734032,307.315833,310.388684,313.4922604,316.6268696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2147180,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2148401,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7210918,556.227752,561.7894733,567.4068062,573.0803069,304.2734032,307.315833,310.388684,313.4922604,316.6268696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
