,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,,TOTAL/QTY ,,,,,Base %,,,,,MAF %,,,,,PPL%,,,,,PPA%,,,,,Total%,,,,
Formulary,NDC11,DrugName,Therapeutic Class,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/31-12/31
IBCprem_BoG_GOV,69536020088,TAKE ACTION,CONTRACEPTIVES,$27.00 ,$27.00 ,$27.00 ,$27.00 ,$27.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,63020022521,FRUZAQLA,ONCOLOGY,"$1,575.20 ","$1,609.28 ","$1,642.12 ","$1,673.19 ","$1,704.85 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,8290329622,"BD INSULIN SYRINGE/DETACHABLE NEEDLE/U-100/1ML/25G X 1""",NEEDLES & SYRINGES,$0.31 ,$0.32 ,$0.34 ,$0.36 ,$0.37 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,43975027710,AMPHETAMINE/DEXTROAMPHETAMINE,ADHD & NARCOLEPSY MEDICATIONS,$1.67 ,$1.67 ,$1.67 ,$1.67 ,$1.67 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,51407056001,AMPHETAMINE/DEXTROAMPHETAMINE,ADHD & NARCOLEPSY MEDICATIONS,$0.70 ,$0.70 ,$0.70 ,$0.70 ,$0.70 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,58160082552,HAVRIX,VACCINES,$100.08 ,$103.17 ,$106.19 ,$109.08 ,$112.06 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,71858003504,TIROSINT,THYROID HORMONES,$5.99 ,$6.02 ,$6.04 ,$6.08 ,$6.11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,69087023712,JATENZO,ANDROGENS,$25.33 ,$27.01 ,$28.60 ,$29.98 ,$31.42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,64896069713,OXYMORPHONE HYDROCHLORIDE ER,OPIOID AGONISTS & COMBOS,$12.15 ,$12.15 ,$12.15 ,$12.15 ,$12.15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
