,,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
Key,Formulary,NDC11,Drug Name,Therapeutic Class,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32
PP_OO_DbMiReSp_GOV00002143480,PP_OO_DbMiReSp_GOV,2143480,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),592.315,595.858,601.8142,607.8299,613.9058,493.5854,498.5193,503.5025,508.5355,513.6189,216.6347,260.4763,263.0801,265.7098,268.3659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002143611,PP_OO_DbMiReSp_GOV,2143611,EMGALITY,MIGRAINE PRODUCTS,890.03,914.4416,954.5508,996.4193,1040.1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002144511,PP_OO_DbMiReSp_GOV,2144511,TALTZ,IMMUNOMODULATORS,8713.81,8945.543,9331.8921,9734.9272,10155.3689,7262.4544,7587.4202,7915.1133,8256.9591,8613.5689,3882.9439,4829.393,5037.9696,5255.5545,5482.5366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002149580,PP_OO_DbMiReSp_GOV,2149580,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),647.86,651.7364,658.2531,664.835,671.4826,539.8741,545.2723,550.7244,556.2311,561.7929,250.5555,301.2629,304.2752,307.3177,310.3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002223680,PP_OO_DbMiReSp_GOV,2223680,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),592.315,595.858,601.8142,607.8299,613.9058,493.5854,498.5193,503.5025,508.5355,513.6189,216.6347,260.4763,263.0801,265.7098,268.3659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002246080,PP_OO_DbMiReSp_GOV,2246080,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,651.82,662.7404,679.9319,696.4855,712.4517,544.142,559.4313,573.9429,587.9161,601.3935,173.6901,302.0929,309.9292,317.4747,324.7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002248401,PP_OO_DbMiReSp_GOV,2248401,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,651.82,662.7404,679.9319,696.4855,712.4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002249501,PP_OO_DbMiReSp_GOV,2249501,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,651.82,662.7404,679.9319,696.4855,712.4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002311509,PP_OO_DbMiReSp_GOV,2311509,EMGALITY,MIGRAINE PRODUCTS,741.6867,762.0295,795.4536,830.3438,866.7644,618.1531,646.6883,675.0533,704.6625,735.5704,160.1299,199.4307,208.1782,217.3093,226.8409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002446430,PP_OO_DbMiReSp_GOV,2446430,CIALIS,IMPOTENCE AGENTS,67.5623,67.5623,67.5623,67.5623,67.5623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002771227,PP_OO_DbMiReSp_GOV,2771227,HUMALOG KWIKPEN,RAPID ACTING,84.8633,84.8633,84.8633,84.8633,84.8633,70.72,70.72,70.72,70.72,70.72,41.2863,49.1504,49.1504,49.1504,49.1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002771559,PP_OO_DbMiReSp_GOV,2771559,BASAGLAR KWIKPEN,BASAL INSULIN,26.1087,26.1087,26.1087,26.1087,26.1087,21.757,21.757,21.757,21.757,21.757,13.5242,16.1002,16.1002,16.1002,16.1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002814701,PP_OO_DbMiReSp_GOV,2814701,HUMATROPE,GROWTH HORMONES,1116.72,1122.321,1141.3185,1164.0467,1190.2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002820705,PP_OO_DbMiReSp_GOV,2820705,LYUMJEV KWIKPEN,RAPID ACTING,42.432,42.432,42.432,42.432,42.432,35.36,35.36,35.36,35.36,35.36,20.6432,24.5752,24.5752,24.5752,24.5752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002822259,PP_OO_DbMiReSp_GOV,2822259,INSULIN LISPRO KWIKPEN,RAPID ACTING,12.7293,12.7293,12.7293,12.7293,12.7293,10.608,10.608,10.608,10.608,10.608,1.047,1.2464,1.2464,1.2464,1.2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002879759,PP_OO_DbMiReSp_GOV,2879759,HUMALOG MIX 75/25 KWIKPEN,RAPID ACTING,12.7293,12.7293,12.7293,12.7293,12.7293,10.608,10.608,10.608,10.608,10.608,1.047,1.2464,1.2464,1.2464,1.2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002880359,PP_OO_DbMiReSp_GOV,2880359,HUMULIN 70/30 KWIKPEN,SHORT ACTING,11.3113,11.3113,11.3113,11.3113,11.3113,9.426,9.426,9.426,9.426,9.426,0.9303,1.1076,1.1076,1.1076,1.1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002882427,PP_OO_DbMiReSp_GOV,2882427,HUMULIN R U-500 KWIKPEN,SHORT ACTING,114.84,114.84,114.84,114.84,114.84,95.7,95.7,95.7,95.7,95.7,27.9348,33.2557,33.2557,33.2557,33.2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00002898005,PP_OO_DbMiReSp_GOV,2898005,REZVOGLAR KWIKPEN,BASAL INSULIN,7.36,7.4833,7.6774,7.8643,8.0446,6.2069,6.3813,6.5468,6.7062,6.8599,0.4041,0.4946,0.5074,0.5197,0.5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00003052711,PP_OO_DbMiReSp_GOV,3052711,SPRYCEL,ONCOLOGY,202.475,202.475,202.475,202.475,202.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00003052811,PP_OO_DbMiReSp_GOV,3052811,SPRYCEL,ONCOLOGY,404.9493,404.9493,404.9493,404.9493,404.9493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00003089421,PP_OO_DbMiReSp_GOV,3089421,ELIQUIS,ORAL ANTICOAGULANTS,12.1258,8.5292,8.5292,8.5292,8.5292,10.1044,5.6191,5.6191,5.6191,0,4.0363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00003089431,PP_OO_DbMiReSp_GOV,3089431,ELIQUIS,ORAL ANTICOAGULANTS,12.1268,8.5299,8.5299,8.5299,8.5299,10.1054,5.6196,5.6196,5.6196,0,4.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006007861,PP_OO_DbMiReSp_GOV,6007861,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,4.391,4.391,0,0,0,1.7639,1.5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006008061,PP_OO_DbMiReSp_GOV,6008061,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,4.391,4.391,0,0,0,1.7639,1.5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006011231,PP_OO_DbMiReSp_GOV,6011231,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,8.7819,8.7819,0,0,0,3.5277,2.4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
