,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,,TOTAL/QTY ,,,,,Base %,,,,,MAF %,,,,,PPL%,,,,,PPA%,,,,,Total%,,,,
Formulary,NDC11,Drug Name,Therapeutic Class,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30,01/26-12/26,01/27-12/27,01/28-12/28,01/29-12/29,01/30-12/30
EHB_OO,89130202001,DUROLANE,OSTEOARTHRITIS,$449.40 ,$455.72 ,$463.25 ,$471.89 ,$482.79 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,93317431,ALBUTEROL SULFATE HFA,SHORT-ACTING BRONCHODILATORS (SABA),$8.71 ,$8.71 ,$8.71 ,$8.71 ,$8.71 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,43386006019,GAVILYTE-C,LAXATIVES,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,169418113,OZEMPIC,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),$409.26 ,$419.75 ,$430.50 ,$441.53 ,$452.85 ,$341.05 ,$349.79 ,$358.75 ,$367.95 ,$377.38 ,$182.46 ,$187.14 ,$191.93 ,$196.85 ,$201.90 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$182.46 ,$187.14 ,$191.93 ,$196.85 ,201.90%,54%,54%,54%,54%,54%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54%,54%,54%,54%,54
EHB_OO,59676057530,PREZCOBIX,HIV-MULTICLASS COMBO,$102.88 ,$107.60 ,$112.56 ,$117.76 ,$123.43 ,$87.17 ,$91.17 ,$95.37 ,$99.78 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,NEWGENERICS00310626060,NEW GENERIC XIGDUO XR,SGLT-2 INHIBITORS & COMBOS,$11.18 ,$11.56 ,$11.92 ,$12.28 ,$12.62 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,555097302,AMPHETAMINE/DEXTROAMPHETAMINE,ADHD & NARCOLEPSY MEDICATIONS,$1.71 ,$1.71 ,$1.71 ,$1.71 ,$1.71 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,59148005316,NUEDEXTA,PSEUDOBULBAR AFFECT AGENT COMBINATIONS,$33.38 ,$35.05 ,$36.80 ,$38.64 ,$40.58 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHB_OO,74104328,RINVOQ,IMMUNOMODULATORS,$566.44 ,$593.93 ,$622.76 ,$652.99 ,$684.69 ,$470.18 ,$493.00 ,$516.93 ,$542.03 ,$568.34 ,$203.12 ,$220.37 ,$231.07 ,$242.29 ,$254.05 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$203.12 ,$220.37 ,$231.07 ,$242.29 ,254.05%,43%,45%,45%,45%,45%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43%,45%,45%,45%,45
