,Pre-Shift,,,,,,,,,,,,,,,,,Pre-Shift + ANNUALIZATION,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + HEP C ADJ,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + LIFT,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + Lift + INCREMENTAL BRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base,,,,,,,,,,,,,,,,,Base,,,,,,,,,,,,,,,,,Base,,,,,,,,,,,,,,,,,Base,,,,,,,,,,,,,,,,,Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base,,,,,,Base,,,,,,,,,,,,
,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,,,,,,,,,,,,,,Rejection Rate Adj,,,,,,340B Rejection Rate,,,,,,,,,,,,
,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,,,,,,,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,
Retail 30,199752439.4,283352520.6,327292130.5,370136362.8,414258335.1,320.0347,401.5204,424.2742,442.8465,457.443,62.1066,84.491,94.1204,102.9221,111.6027,,Retail 30,199752439.4,283352520.6,327292130.5,370136362.8,414258335.1,320.0347,401.5204,424.2742,442.8465,457.443,62.1066,84.491,94.1204,102.9221,111.6027,,Retail 30,183670759.2,243505479.1,273498624.5,302894480.3,333568076.1,314.4674,380.7442,400.9555,418.254,432.2808,57.8273,74.0703,80.7238,86.9224,93.2288,,Retail 30,196929001.8,269137700.2,311719376.9,359372797.2,414015834,337.1672,420.8227,456.988,496.2425,536.5355,62.0015,81.8672,92.0048,103.1301,115.7131,,Retail 30,199654166.4,274003170.4,318665919.7,368800186.8,426320108.9,336.8139,420.4526,456.5993,495.8251,536.0955,62.9073,83.4146,94.134,105.9275,119.2603,,,,,,,,,,,,,,,,0.353308484,0.370118405,0.388713783,0.417464155,0.440016936,,0.001029532,0.000870217,0.000830947,0.00082176,0.000817396,,,,,,,,
Retail 90,25253234.87,37803655.31,44687718.97,51783047.23,57141623.8,371.4261,549.3069,637.6642,718.1068,785.4307,29.5961,44.3336,52.383,60.6831,66.9692,,Retail 90,25253234.87,37803655.31,44687718.97,51783047.23,57141623.8,371.4261,549.3069,637.6642,718.1068,785.4307,29.5961,44.3336,52.383,60.6831,66.9692,,Retail 90,22755484.66,31523847.47,36186672.71,41128688.22,44323926.01,345.4524,482.5671,553.6378,621.1653,674.9091,26.7352,37.1212,42.654,48.5331,52.3816,,Retail 90,24324012.67,34777272.21,41165930.1,48318886.49,53889800.09,369.2643,532.3705,629.8179,729.7586,820.5662,28.5781,40.9523,48.5231,57.0177,63.6864,,Retail 90,25343943.13,36697985.19,43982838.16,52207952.19,58950158.43,368.9831,532.0016,629.5155,729.4704,820.2436,29.7821,43.2225,51.8532,61.6179,69.6791,,,,,,,,,,,,,,,,0.281176514,0.368966407,0.302417814,0.288238055,0.322626774,,0.000879062,0.00081731,0.000490509,0.000223728,0.000217609,,,,,,,,
Mail,10651567.86,10304402.16,9023792.573,8562537.399,8882976.302,463.0666,532.329,568.4597,584.5678,592.9484,51.0039,49.4523,43.306,41.0507,42.5153,,Mail,10651567.86,10304402.16,9023792.573,8562537.399,8882976.302,463.0666,532.329,568.4597,584.5678,592.9484,51.0039,49.4523,43.306,41.0507,42.5153,,Mail,10651567.86,10304402.16,9023792.573,8562537.399,8882976.302,463.0666,532.329,568.4597,584.5678,592.9484,51.0039,49.4523,43.306,41.0507,42.5153,,Mail,11209676.78,11170210.28,10098359.48,9922201.297,10687999.17,487.3299,577.057,636.1528,677.3926,713.4356,53.6764,53.6074,48.4629,47.5692,51.1544,,Mail,11474028.79,11588421.2,10686226.16,10675683.19,11607307.41,485.1041,573.401,631.0796,670.8802,705.7473,54.9634,55.6372,51.3055,51.2038,55.5813,,,,,,,,,,,,,,,,2.225770932,3.656023834,5.073178915,6.512408185,7.688293207,,0.007305264,0.009857242,0.012407432,0.014581857,0.016196207,,,,,,,,
Specialty,77018019.04,81747590.4,82174205.32,84364797.78,87342356.24,3822.9158,3946.4765,3913.3189,3915.9119,3920.8354,3582.1304,3666.5064,3587.0807,3585.4711,3583.391,,Specialty,77018019.04,81747590.4,82174205.32,84364797.78,87342356.24,3822.9158,3946.4765,3913.3189,3915.9119,3920.8354,3582.1304,3666.5064,3587.0807,3585.4711,3583.391,,Specialty,77018019.04,81747590.4,82174205.32,84364797.78,87342356.24,3822.9158,3946.4765,3913.3189,3915.9119,3920.8354,3582.1304,3666.5064,3587.0807,3585.4711,3583.391,,Specialty,82516848.23,90050882.28,93470738.97,101814293.6,114006300.2,4095.8592,4347.3293,4451.2851,4725.855,5117.7911,3837.8826,4038.922,4080.1987,4327.0679,4677.3315,,Specialty,82747019.8,90400213.87,93939949.72,102435974.1,114827113.9,4094.5749,4346.6865,4450.4773,4724.8879,5116.6416,3850.866,4057.6658,4103.6822,4356.6288,4714.3688,,,,,,,,,,,,,,,,1.284277866,0.642823234,0.807757561,0.967088954,1.149537172,,0.000162467,0.000179822,0.000194636,0.000206169,0.000218508,,,,,,,,
Total,312675261.1,413208168.5,463177847.4,514846745.2,567625291.5,425.2365,507.2586,527.3155,545.3226,558.9036,72.7171,93.1275,101.535,109.9694,118.2931,,Total,312675261.1,413208168.5,463177847.4,514846745.2,567625291.5,425.2365,507.2586,527.3155,545.3226,558.9036,72.7171,93.1275,101.535,109.9694,118.2931,,Total,294095830.7,367081319.1,400883295.1,436950503.7,474117334.6,424.3259,492.7611,511.1015,528.6171,542.1098,69.0742,84.0508,89.7285,95.7342,101.7979,,Total,314979539.4,405136065,456454405.5,519428178.6,592599933.5,454.4572,543.8448,581.9513,628.3975,677.5838,73.9792,92.7642,102.1668,113.8047,127.2373,,Total,319219158.1,412689790.7,467274933.8,534119796.3,611704688.6,452.5873,541.8189,579.8748,626.1855,675.1786,75.022,94.5572,104.6614,117.1079,131.4387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
